"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"118",0.639,0.785,10,-6.167,0,0.174,0.0174,0.00107,0.0512,0.686,191.95,"audio_features","6bLopGnirdrilrpdVB6Um1","spotify:track:6bLopGnirdrilrpdVB6Um1","https://api.spotify.com/v1/tracks/6bLopGnirdrilrpdVB6Um1","https://api.spotify.com/v1/audio-analysis/6bLopGnirdrilrpdVB6Um1",210920,4,"pop"
"119",0.665,0.498,5,-8.185,1,0.0832,0.228,0,0.0757,0.127,81.967,"audio_features","5yuShbu70mtHXY0yLzCQLQ","spotify:track:5yuShbu70mtHXY0yLzCQLQ","https://api.spotify.com/v1/tracks/5yuShbu70mtHXY0yLzCQLQ","https://api.spotify.com/v1/audio-analysis/5yuShbu70mtHXY0yLzCQLQ",179613,4,"pop"
"120",0.479,0.727,4,-5.369,1,0.0357,0.000718,1.97e-05,0.0644,0.0577,180.09,"audio_features","7MRY4VpCuZvBmFda6ZCk2G","spotify:track:7MRY4VpCuZvBmFda6ZCk2G","https://api.spotify.com/v1/tracks/7MRY4VpCuZvBmFda6ZCk2G","https://api.spotify.com/v1/audio-analysis/7MRY4VpCuZvBmFda6ZCk2G",253249,4,"pop"
"121",0.694,0.853,7,-3.986,1,0.0934,0.136,0,0.322,0.501,106.098,"audio_features","01BC4Xj5tfsfV8DLDrma7q","spotify:track:01BC4Xj5tfsfV8DLDrma7q","https://api.spotify.com/v1/tracks/01BC4Xj5tfsfV8DLDrma7q","https://api.spotify.com/v1/audio-analysis/01BC4Xj5tfsfV8DLDrma7q",199773,4,"pop"
"122",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,"audio_features","4nVBt6MZDDP6tRVdQTgxJg","spotify:track:4nVBt6MZDDP6tRVdQTgxJg","https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg","https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg",245493,4,"pop"
"123",0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,"audio_features","3E2Zh20GDCR9B1EYjfXWyv","spotify:track:3E2Zh20GDCR9B1EYjfXWyv","https://api.spotify.com/v1/tracks/3E2Zh20GDCR9B1EYjfXWyv","https://api.spotify.com/v1/audio-analysis/3E2Zh20GDCR9B1EYjfXWyv",201160,4,"pop"
"124",0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,"audio_features","3EmmCZoqpWOTY1g2GBwJoR","spotify:track:3EmmCZoqpWOTY1g2GBwJoR","https://api.spotify.com/v1/tracks/3EmmCZoqpWOTY1g2GBwJoR","https://api.spotify.com/v1/audio-analysis/3EmmCZoqpWOTY1g2GBwJoR",198774,4,"pop"
"125",0.751,0.647,8,-7.887,0,0.241,0.211,0,0.265,0.355,104.022,"audio_features","7e6FvCvngX5job1PUYIIIL","spotify:track:7e6FvCvngX5job1PUYIIIL","https://api.spotify.com/v1/tracks/7e6FvCvngX5job1PUYIIIL","https://api.spotify.com/v1/audio-analysis/7e6FvCvngX5job1PUYIIIL",184840,4,"pop"
"126",0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,"audio_features","5GXAXm5YOmYT0kL5jHvYBt","spotify:track:5GXAXm5YOmYT0kL5jHvYBt","https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt","https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt",269187,4,"pop"
"127",0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,"audio_features","6WhzFzROw3aq3rPWjgYlxr","spotify:track:6WhzFzROw3aq3rPWjgYlxr","https://api.spotify.com/v1/tracks/6WhzFzROw3aq3rPWjgYlxr","https://api.spotify.com/v1/audio-analysis/6WhzFzROw3aq3rPWjgYlxr",225882,5,"pop"
